id,q1_safe_place,q2_stress,q3_understood,q4_free_day,q5_one_word,q6_decision_style,q7_social_energy,q8_region,nickname
p_011,"My bed, weighted blanket, blackout curtains. The world shrinks to the size of a cocoon. I need that smallness sometimes to feel contained.","Insomnia spiral - the anxiety of not sleeping creating more inability to sleep. I broke it by accepting the sleeplessness, reading through the night, removing the pressure.","When I finally admitted I was struggling to a friend and they said 'Me too.' Not advice, not solutions. Just 'me too.' We sat in shared difficulty together.","Literally nothing. Stay in bed. Let time be shapeless. No productivity, no improvement, no goals. Pure rest.","Tired - but the kind of tired that sleep doesn't fix.","Mostly emotional","Drained","North America",""
p_012,"Cooking for people I love. The kitchen becomes the safest place when I'm feeding others. I can show care through food when words fail me.","Family conflict during holidays. Old patterns, unresolved tension, regression to childhood roles. I coped by setting time limits, having an exit plan, forgiving myself for not fixing everything.","My child once drew a picture of our family and made me the biggest. 'Because you hold us all,' they explained. I didn't know they saw that.","Farmers market in the morning. Plan an elaborate meal. Spend all day cooking, timing everything perfectly. Watch people enjoy what I made.","Nourishing - I express love through practical care.","Mostly emotional","Energised","Europe","homecook"
p_013,"Mountain summit after a long climb. The effort is part of the safety - earning the view, being somewhere you had to work to reach. The world below seems smaller and more manageable.","Job loss that came without warning. Identity crisis followed - so much of who I was tied to what I did. I coped by treating the search like a job itself, maintaining structure.","A mentor once said 'You're not behind. You're on your own path.' I'd been measuring myself against others for so long that permission to have my own timeline felt revolutionary.","Challenging hike. Push physical limits. Reach somewhere I couldn't have reached easily. Earn exhaustion.","Driven - I rest by doing, which I know is a problem.","Mostly rational","Energised","North America","summitseeker"
p_014,"Airport lounges, oddly. Nowhere places between destinations. Everyone is going somewhere but right now we're all suspended. I feel anonymous and free in transit.","Panic attack on a plane. Trapped, no escape, heart racing. I learned breathing techniques, carry medication now, tell flight attendants quietly when I board. Preparation as coping.","A seatmate on a long flight shared their life story without asking for mine. The gift of listening without expectation of return. I think about them sometimes.","Fly somewhere spontaneously. Doesn't matter where. The airport, the departure, the arrival somewhere new.","Transient - I'm most comfortable between places.","Depends","Depends","Europe","transitlover"
p_015,"Garden in early morning. Hands in soil, watching things grow over time. The patience required teaches me something. I can't rush a plant and I can't rush healing.","Chronic illness diagnosis. The grief was for a future self I'd imagined. I coped by focusing on what I could control - sleep, food, movement - and mourning what I couldn't.","A stranger in a waiting room, also waiting for test results, reached over and held my hand. We never spoke. They let go when they were called. Perfect understanding.","Garden all day. Plant something new. Prune, weed, water. Watch the light move across the beds. Feel time passing slowly.","Growing - I'm not who I was and not yet who I'll become.","Mostly rational","Drained","Europe","gardenmind"
p_016,"Night sky away from city lights. The vastness doesn't frighten me - it provides perspective. My problems shrink against the scale of the universe. That's comforting, not depressing.","Existential crisis in my thirties. 'Is this all there is?' The question haunted me. I coped by letting the question stay open rather than forcing answers.","Reading a book and encountering a sentence that articulated something I'd felt my whole life but never named. Being understood by a dead author across centuries.","Drive to somewhere with dark skies. Lie on a blanket. Watch stars for hours. Think about time and scale and meaning.","Small - not self-deprecating, just aware of my place in everything.","Mostly rational","Drained","North America","starwatcher"
p_017,"Thrift stores. Searching through other people's discarded lives, giving abandoned things new purpose. There's something healing about rescue.","Creative block that lasted months. The more I tried to force it, the worse it got. I coped by letting go entirely, trusting the ideas would return. They did, eventually.","An art teacher once said 'Your mistakes are more interesting than your intentions.' It changed how I work entirely.","Estate sales, flea markets, antique shops. Hunt for treasure. Imagine the stories behind objects. Bring something strange home.","Collector - of things, of experiences, of moments.","Mostly emotional","Depends","North America","treasurehunter"
p_018,"Yoga class with a teacher I trust. Surrendering to someone else's guidance, being told exactly what to do with my body. The structure frees my mind.","Addiction recovery. The hardest thing I've ever done. One day at a time isn't a cliche when you're living it. Community, honesty, showing up repeatedly.","My sponsor said 'You don't have to fight alone anymore.' After years of white-knuckling through everything, being told I could have help felt like grace.","Morning yoga, long meditation, healthy meals, early bed. Care for my body like it matters, because it does.","Recovering - always, in multiple senses.","Mostly emotional","Drained","North America",""
p_019,"Startup office at 2am when everyone's gone. The energy of building something, the potential in the silence, screens glowing with possibility. I know this is problematic but it feels like home.","Failure of a company I'd poured years into. Public, expensive, humiliating. I coped by analyzing what went wrong obsessively, extracting lessons, vowing to fail differently next time.","Investors who lost money in my failed company said 'We'd back you again.' That trust after failure, unearned, was overwhelming.","Whiteboard session. Map out a new idea. Get lost in possibilities. Energy drinks and bad food and the excitement of beginning.","Relentless - which is sometimes strength and sometimes damage.","Mostly rational","Energised","North America","founder"
p_020,"Grandmother's grave. Sounds morbid but I talk to her there. Tell her about my life, ask for guidance, feel connected across death. The ritual comforts me.","Grief that never fully ends, just changes shape. Holidays, anniversaries, random Tuesdays. I cope by honoring the feeling rather than fighting it.","When someone mentions my grandmother in casual conversation, keeping her present in the world. Memories shared are memories preserved.","Visit places she loved. Eat her recipes. Look at photos. Keep her alive through attention.","Remembering - carrying forward what shouldn't be forgotten.","Mostly emotional","Drained","Europe","memorykeeper"
p_021,"Basketball court at the gym. The simplicity of the game, body knowing what to do without thinking, complete presence in movement. Can't be anxious when you're guarding someone.","Relationship ending badly. The hurt and the relief tangled together. I coped through exercise - running until I couldn't think, lifting until I couldn't feel.","Teammates picking me up after I missed a crucial shot. No blame, just 'next one.' That automatic forgiveness.","Play pickup games all day. Compete, sweat, high-five strangers. Then collapse on the couch, satisfyingly destroyed.","Competitive - I come alive when there's something to win.","Mostly rational","Energised","North America","hooper"
p_022,"My therapist's office. Strange to feel safest in a place designed to expose vulnerability, but that's exactly why. Permission to fall apart without judgment.","Depression that stole months. Everything grey, nothing mattered. I coped by doing the minimum - shower, eat, show up - and trusting that minimum was enough.","Therapist once said 'You've been surviving. Now we can work on living.' The distinction opened something.","Honestly? Just feel normal. Have energy. Want things. Depression steals desire itself, so wanting anything feels like victory.","Healing - it's work, every day.","Mostly emotional","Drained","North America",""
p_023,"Children's birthday parties, chaotic and joyful. The pure enthusiasm, the lack of cynicism, the permission to be silly. Kids don't judge adults who play.","Parenting failure - losing my temper, saying things I regretted. The shame was enormous. I coped by apologizing to my kids, modeling accountability.","My child forgiving me instantly, completely, saying 'It's okay, everyone makes mistakes.' Learning grace from someone I'm supposed to teach.","Kid stuff. Zoo, playground, ice cream, movie. See the world through their wonder.","Parent - it's who I am now, more than anything else.","Mostly emotional","Energised","Europe","daddychaos"
p_024,"Coding with headphones on, solving problems, hours disappearing. Flow state feels like safety because there's no room for anything else. Just the puzzle and the solution.","Imposter syndrome in a new role. Everyone seemed to know more than me. I coped by asking questions aggressively, choosing learning over appearing competent.","A junior engineer thanked me for explaining something patiently. I'd thought I was struggling; they saw me as helpful. Perspective gap.","Hackathon or personal project. Build something new. Get lost in code. Forget to eat. Emerge blinking and satisfied.","Building - I understand the world by constructing things in it.","Mostly rational","Drained","East Asia","codebuilder"
p_025,"Poetry readings in small bookstores. Words hung in air, collective listening, vulnerability rewarded with attention. Language is my home.","Writer's block combined with deadline. Paralyzing. I coped by writing badly on purpose, giving myself permission to fail forward.","An editor once said 'Your voice is necessary.' Not good or skilled - necessary. That word specifically.","Write in cafes. Read in parks. Maybe open mic at night. Words all day, different forms.","Articulate - I exist more fully when I find the right words.","Mostly emotional","Depends","Europe","wordkeeper"
p_026,"Protest marches, surrounded by people who care about the same things. Collective action, shared purpose, feeling less alone in anger and hope.","Climate grief. The scale of the problem, the inadequacy of individual action. I coped by focusing on local, tangible changes. What I can touch.","Meeting people who'd been fighting the same fight for decades without giving up. Their persistence as instruction.","Volunteer work. Direct action. Be useful to something larger than myself.","Committed - to more than my own comfort.","Mostly emotional","Energised","Europe","activist"
p_027,"VR headset, oddly enough. Not the games but the environments - sitting on a virtual beach, floating in space. My body stays safe while my mind travels.","Social exhaustion that felt physical. Every interaction drained me. I coped by creating boundaries, saying no without explanation, protecting energy.","Someone respected my stated boundaries without pushing back or requiring justification. The relief of being believed.","Stay home. No obligations. Digital worlds or analog hobbies, doesn't matter. Just solitude.","Introverted - not shy, not antisocial, just needs silence to function.","Mostly rational","Drained","East Asia",""
p_028,"My grandmother's stories about the old country. I never went there but I feel connected through her words. Home is narrative as much as place.","Immigration pressure - the cultural expectations, the push and pull between worlds. I coped by accepting that I could be multiple things.","Someone from back home saying I hadn't lost myself despite leaving. The fear of becoming unrecognizable, addressed.","Cook traditional recipes. Call relatives. Honor where I came from while living where I am.","Hybrid - belonging fully to nowhere and partially to many places.","Depends","Depends","East Asia","betweenworlds"
p_029,"The dojo after class, empty mats, the silence after exertion. Martial arts taught me that controlled violence could feel like peace. Strange but true.","Physical altercation that I handled poorly. The shame of losing control. I returned to training specifically to learn control.","Sensei once said 'You've grown' - not about technique, about character. Training the body to train the mind.","Train in the morning. Rest and recover. Maybe watch fights, study movement. Simple inputs, simple outputs.","Disciplined - because I know what I'm like without discipline.","Mostly rational","Depends","East Asia","warrior"
p_030,"Blank canvas before I start. Pure potential, no mistakes yet. The safety is in the possibility space, before choices narrow it.","Art school critique that was brutal and unfair. The politics of aesthetics. I coped by making work they'd hate on purpose, reclaiming agency.","Gallery visitor crying in front of my work. They didn't explain. They didn't have to.","Studio time. Large canvas. Loud music. Physical painting. Lose hours.","Expressive - I make things to understand what I feel.","Mostly emotional","Depends","South America","painter"
p_031,"Hospital chapel at night during my mother's illness. Not religious exactly, but the intentional silence, the permission to not be okay. Secular sacred space.","Anticipatory grief - mourning someone still alive. The complicated guilt. I coped by being present, literally, physically present as much as possible.","Nurse who treated my mother like a person, not a patient. Remembered her preferences, used her name, saw her.","Care for someone. Cook, clean, help. Feel useful instead of helpless.","Devoted - sometimes to my own detriment.","Mostly emotional","Drained","North America",""
p_032,"Ice rink early morning, cutting figures in fresh ice. The cold, the precision, the solitude. Performance without audience.","Injury that ended competitive skating. Identity built on physicality, suddenly gone. I coped by finding new ways to move, coaching others.","A student landing something for the first time, turning to me with joy. My success living on through them.","Skate until muscles burn. Then stretching, recovery, care for the body that carries me.","Graceful - a word I earned through years of falling.","Depends","Energised","Europe","icedancer"
p_033,"Cabin in the woods with no cell service. The relief of being unreachable, the permission to be fully where I am. Connectivity is exhausting.","Information overload causing anxiety. News, notifications, infinite scroll. I coped by scheduled digital sabbaths, phone in a drawer.","Someone saying 'You seem more present' after I'd been offline for a week. The disconnection showing in connection.","Hike to somewhere without signal. Be unavailable. Read actual books. Sleep when dark.","Unplugged - not anti-technology, just pro-boundary.","Mostly rational","Drained","North America","offgrid"
p_034,"Hospital room after delivering my child. Exhausted, amazed, terrified. The safest I've felt because the most had been risked. Survival as sanctuary.","Postpartum depression that I didn't recognize as such. The guilt of struggling when I was supposed to be happy. I coped by finally asking for help.","Healthcare provider who normalized what I was feeling instead of dismissing it. 'This is common and treatable.' Permission to struggle.","Sleep. Please just sleep. Maybe hold my baby while someone else handles everything else. Rest.","Surviving - each day I keep everyone alive is success.","Mostly emotional","Drained","North America","newmom"
p_035,"The internet, honestly. My online communities know me better than most people in physical proximity. Shared interests over shared geography. Home is where your people are.","Being outed before I was ready. Loss of control over my own narrative. I coped by taking back the story, telling it myself, on my terms.","Finding others like me online when I thought I was the only one. The first time I wasn't alone in my experience.","Online with my communities. Gaming, chatting, being fully myself without the limitations of the physical.","Authentic - finally, after years of performing.","Depends","Energised","North America","truself"
